plz,x,z,power_kw,year
33189,-0.399876,-0.225928,4200.0,2025
06749,0.452081,-0.152181,6800.0,2025
58579,-0.691309,-0.031606,4260.0,2025
48308,-0.710992,-0.231095,5560.0,2025
48308,-0.709371,-0.228634,5560.0,2025
33189,-0.3932,-0.229036,4200.0,2025
75323,-0.461973,0.823212,5600.0,2025
33034,-0.311867,-0.1814,5600.0,2025
15848,0.889525,-0.332644,5560.0,2025
15848,0.885395,-0.322551,5560.0,2025
26906,-0.771718,-0.598636,5700.0,2025
15848,0.883346,-0.335419,5560.0,2025
55599,-0.594574,0.45805,5560.0,2025
54320,-0.886083,0.474037,4260.0,2025
58300,-0.741762,-0.071272,1.0,2025
15837,0.731545,-0.289864,5700.0,2025
15837,0.733166,-0.287404,5700.0,2025
15837,0.728165,-0.290276,5700.0,2025
15837,0.734841,-0.293383,5700.0,2025
15837,0.730712,-0.28329,5700.0,2025
23743,0.123273,-1.008457,4200.0,2025
48727,-0.748186,-0.27696,30.0,2024
38459,0.126625,-0.409426,6600.0,2025
47608,-0.995934,-0.120098,5700.0,2025
47608,-0.994313,-0.117638,5700.0,2025
23743,0.124894,-1.005996,4200.0,2025
23743,0.119893,-1.008868,4200.0,2025
55237,-0.578496,0.462842,5560.0,2025
26759,-0.776951,-0.750823,1.0,2025
33189,-0.397329,-0.218943,4200.0,2025
25870,-0.362846,-1.070243,6000.0,2025
25870,-0.361225,-1.067782,6000.0,2025
25870,-0.366226,-1.070654,6000.0,2025
25870,-0.359549,-1.073762,6000.0,2025
83624,0.293766,1.08535,5560.0,2025
25849,-0.431467,-1.123267,6.0,2025
25336,-0.190915,-0.857865,20.0,2025
24340,-0.151693,-1.093328,1.0,2025
06895,0.566563,-0.243917,6600.0,2025
26939,-0.488424,-0.726611,5600.0,2025
26939,-0.486803,-0.724151,5600.0,2025
26939,-0.491804,-0.727023,5600.0,2025
33165,-0.376547,-0.152517,5560.0,2025
54597,-0.988789,0.342039,5700.0,2025
54597,-0.982112,0.338931,5700.0,2025
24610,-0.067046,-0.960183,5700.0,2025
24610,-0.065426,-0.957722,5700.0,2025
24610,-0.070426,-0.960594,5700.0,2025
24610,-0.06375,-0.963702,5700.0,2025
89368,0.011768,0.901029,2.0,2025
26906,-0.776719,-0.601508,5700.0,2025
26906,-0.770042,-0.604616,5700.0,2025
15837,0.728662,-0.296159,5700.0,2025
15837,0.737221,-0.287748,5700.0,2025
59939,-0.462942,-0.048389,5500.0,2025
59939,-0.461321,-0.045928,5500.0,2025
59939,-0.466322,-0.0488,5500.0,2025
59939,-0.459645,-0.051908,5500.0,2025
21734,-0.295038,-0.874266,6800.0,2025
85653,0.311628,1.067827,5560.0,2025
45768,-0.813405,-0.163829,5700.0,2025
24980,-0.304883,-1.199338,5700.0,2025
24980,-0.303262,-1.196877,5700.0,2025
24980,-0.308263,-1.199749,5700.0,2025
24980,-0.301586,-1.202857,5700.0,2025
35585,-0.466945,0.184216,4500.0,2025
35585,-0.465324,0.186677,4500.0,2025
35585,-0.470325,0.183805,4500.0,2025
23774,0.1242,-1.069222,6600.0,2025
23774,0.125821,-1.066761,6600.0,2025
41366,-1.006583,-0.015455,4200.0,2025
41366,-1.004962,-0.012994,4200.0,2025
41366,-1.009963,-0.015866,4200.0,2025
41366,-1.003286,-0.018974,4200.0,2025
24610,-0.06788,-0.953609,5700.0,2025
37696,-0.297084,-0.218457,6000.0,2025
37696,-0.290407,-0.221565,6000.0,2025
06772,0.407108,0.048929,5500.0,2025
48485,-0.739944,-0.354542,5700.0,2025
48485,-0.738323,-0.352081,5700.0,2025
54314,-0.903888,0.521963,5700.0,2025
54314,-0.902268,0.524424,5700.0,2025
54314,-0.907268,0.521551,5700.0,2025
54314,-0.900592,0.518444,5700.0,2025
54314,-0.904722,0.528537,5700.0,2025
52391,-0.925361,0.137534,4260.0,2025
52391,-0.92374,0.139995,4260.0,2025
52391,-0.928741,0.137123,4260.0,2025
52391,-0.922064,0.134015,2300.0,2025
52391,-0.926194,0.144108,2300.0,2025
52391,-0.928244,0.13124,2300.0,2025
52391,-0.919685,0.13965,2300.0,2025
52391,-0.930991,0.141612,2300.0,2025
52391,-0.92304,0.128663,4260.0,2025
52391,-0.922607,0.146785,2300.0,2025
59556,-0.509091,-0.182932,4260.0,2025
59556,-0.50747,-0.180471,4260.0,2025
36088,-0.168793,0.169793,4800.0,2025
46286,-0.823949,-0.192441,5500.0,2025
96190,0.096141,0.346403,5560.0,2025
24852,-0.260159,-1.153359,6.0,2024
18556,0.693442,-1.161132,1.0,2025
23818,-0.017106,-0.913818,6800.0,2025
23818,-0.015485,-0.911357,6800.0,2025
44579,-0.75984,-0.13807,1.0,2025
44579,-0.758219,-0.135609,1.0,2025
06917,0.608119,-0.221039,6600.0,2025
71540,-0.205553,0.730641,1.0,2025
02692,0.956203,0.014273,1.0,2025
24860,-0.212175,-1.153653,1.0,2025
27612,-0.45294,-0.763166,2.0,2025
85276,0.249676,0.870464,4200.0,2025
06895,0.57324,-0.247025,6600.0,2025
34431,-0.386731,-0.090279,3000.0,2025
27404,-0.283679,-0.701894,6000.0,2025
21737,-0.275748,-0.864873,6800.0,2025
21737,-0.274127,-0.862412,6800.0,2025
21737,-0.279128,-0.865284,6800.0,2025
21734,-0.293417,-0.871806,6800.0,2025
21734,-0.298418,-0.874678,6800.0,2025
19386,0.372439,-0.758597,5700.0,2025
19386,0.374722,-0.780358,5700.0,2025
19386,0.383947,-0.761447,5700.0,2025
19386,0.367382,-0.766922,5700.0,2025
19386,0.382763,-0.778837,5700.0,2025
19386,0.377025,-0.754861,5700.0,2025
19386,0.369397,-0.778622,5700.0,2025
23847,0.00695,-0.861413,4800.0,2025
23847,0.008571,-0.858953,4800.0,2025
25821,-0.355664,-1.150521,95.0,2025
06895,0.56911,-0.236932,6600.0,2025
06895,0.56706,-0.2498,6600.0,2025
06895,0.575619,-0.241389,6600.0,2025
06895,0.564313,-0.239428,6600.0,2025
